family_id,twin_id,eye,subject_id,iris_id,image_idx,filename,relative_path,absolute_path,file_extension,file_size_bytes,sha256,width,height,mode,format,readable,error,filename_pattern_ok,filename_family_id,filename_twin_id,filename_eye,filename_image_idx,folder_filename_consistent,quality_ok,brightness,contrast,focus_score,dark_ratio,bright_ratio,folder_class,outlier_type
26,2,L,F26_T2,F26_T2_L,1,S3262L01.jpg,26/2L/S3262L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/26/2L/S3262L01.jpg,.jpg,14836,fefdae2e995c7de6b1ae227407f6e198c2e2d96ed1bb633fec0619deddb17408,640,480,L,JPEG,True,,True,26,2,L,1,True,True,139.05596923828125,33.32188034057617,14.115890151458318,0.00021484375,9.114583333333334e-05,2L,low_focus
13,1,R,F13_T1,F13_T1_R,1,S3131R01.jpg,13/1R/S3131R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/13/1R/S3131R01.jpg,.jpg,16140,998725ab290be328276f6ad4a6f499af350c53e80664e03c8a6aa44ad3492781,640,480,L,JPEG,True,,True,13,1,R,1,True,True,135.534423828125,35.926448822021484,14.208805221462248,0.0009635416666666,8.7890625e-05,1R,low_focus
56,1,R,F56_T1,F56_T1_R,1,S3561R01.jpg,56/1R/S3561R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/56/1R/S3561R01.jpg,.jpg,15731,cb2c9ac695fa58f51aa35252d32ce5e6079ab421970ada542b72543dd65f20c9,640,480,L,JPEG,True,,True,56,1,R,1,True,True,125.6261978149414,31.86710548400879,14.40634599541558,0.0010677083333333,8.463541666666667e-05,1R,low_focus
37,1,L,F37_T1,F37_T1_L,3,S3371L03.jpg,37/1L/S3371L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/37/1L/S3371L03.jpg,.jpg,15990,231f579f8979da28ee795bc2de4950e4e760d83f6d2b5e81f92faefed10d10d1,640,480,L,JPEG,True,,True,37,1,L,3,True,True,110.5754165649414,32.57056427001953,14.760055459075502,0.0042545572916666,6.8359375e-05,1L,low_focus
58,2,L,F58_T2,F58_T2_L,1,S3582L01.jpg,58/2L/S3582L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/58/2L/S3582L01.jpg,.jpg,16410,82efe8c7b471e0ccbcbcaf186118066535d3249f7ee6f0f646a81d877081bbd6,640,480,L,JPEG,True,,True,58,2,L,1,True,True,135.67630004882812,37.314510345458984,14.99443092387517,0.0003548177083333,6.510416666666667e-05,2L,low_focus
38,2,L,F38_T2,F38_T2_L,6,S3382L06.jpg,38/2L/S3382L06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/38/2L/S3382L06.jpg,.jpg,16059,a9c617486dedb4c2d263e5f543792008bc5bec42f07de750cb4ef41c7dde9ba0,640,480,L,JPEG,True,,True,38,2,L,6,True,True,122.11708068847656,32.54750061035156,15.017496744791666,0.0004166666666666,2.2786458333333334e-05,2L,low_focus
63,2,R,F63_T2,F63_T2_R,6,S3632R06.jpg,63/2R/S3632R06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/63/2R/S3632R06.jpg,.jpg,15995,04be052c42f15a338c53c2d656e925748650114a2f74fe5d4aec9263c1f3ec4c,640,480,L,JPEG,True,,True,63,2,R,6,True,True,141.59275817871094,35.052894592285156,15.068369024054206,0.0003515625,9.765625e-05,2R,low_focus
21,1,R,F21_T1,F21_T1_R,1,S3211R01.jpg,21/1R/S3211R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/21/1R/S3211R01.jpg,.jpg,15944,48efbc241c3fa45ff52d878c90af51fd21ba53311ac2b2e3b05cef9c61a5c936,640,480,L,JPEG,True,,True,21,1,R,1,True,True,122.82425689697266,38.41270446777344,15.1470340371026,0.000615234375,5.5338541666666664e-05,1R,low_focus
55,2,L,F55_T2,F55_T2_L,2,S3552L02.jpg,55/2L/S3552L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/55/2L/S3552L02.jpg,.jpg,15081,5011cf08b74bbcdc3fb872f1168d1a47b49a8a424650854c80ccd61a367ee79c,640,480,L,JPEG,True,,True,55,2,L,2,True,True,142.83949279785156,37.77389907836914,15.2014653154903,0.0003059895833333,7.161458333333333e-05,2L,low_focus
24,2,R,F24_T2,F24_T2_R,7,S3242R07.jpg,24/2R/S3242R07.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/24/2R/S3242R07.jpg,.jpg,15658,1b03b3d173c82a9edc9c8998000fbd927e9b726776973eee31f7c4c27b6dc9ba,640,480,L,JPEG,True,,True,24,2,R,7,True,True,109.3076400756836,37.351444244384766,15.309956725554995,0.0142610677083333,6.184895833333334e-05,2R,low_focus
34,1,R,F34_T1,F34_T1_R,1,S3341R01.jpg,34/1R/S3341R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/34/1R/S3341R01.jpg,.jpg,15265,fa1de2493f4e02324bf52f113c834d92c618bd395ab5a381f8bcdedd33afb0a6,640,480,L,JPEG,True,,True,34,1,R,1,True,True,125.19769287109376,35.376731872558594,15.326532437547046,0.0003678385416666,7.8125e-05,1R,low_focus
42,1,R,F42_T1,F42_T1_R,1,S3421R01.jpg,42/1R/S3421R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/42/1R/S3421R01.jpg,.jpg,14711,f67e14586a9d2cf12cf06e93fcdecf07dca83848db2f2fce8d93573a524b2a99,640,480,L,JPEG,True,,True,42,1,R,1,True,True,122.6035385131836,31.872726440429688,15.372887997934557,0.001259765625,0.0001497395833333,1R,low_focus
19,1,R,F19_T1,F19_T1_R,3,S3191R03.jpg,19/1R/S3191R03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/19/1R/S3191R03.jpg,.jpg,17639,c2e3b587e4ad68746680e6e9557c2196f41647f5fcca2af7fa3f4a1fccd0adb7,640,480,L,JPEG,True,,True,19,1,R,3,True,True,124.2398681640625,40.62739944458008,15.410246979512111,0.00173828125,5.5338541666666664e-05,1R,low_focus
7,1,R,F07_T1,F07_T1_R,1,S3071R01.jpg,07/1R/S3071R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/07/1R/S3071R01.jpg,.jpg,16368,5e18c46969eabfc6db08a7a08c1ed427369e1a3f5a17933b942d50b7dd1bef18,640,480,L,JPEG,True,,True,7,1,R,1,True,True,114.1324462890625,33.37545394897461,15.540538564003835,0.0013248697916666,3.90625e-05,1R,low_focus
98,2,R,F98_T2,F98_T2_R,1,S3982R01.jpg,98/2R/S3982R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/98/2R/S3982R01.jpg,.jpg,15669,6d2469e6d2e01c0cd4bfd6372ea81a179e0a96d87c97661a07584cac51f7c49a,640,480,L,JPEG,True,,True,98,2,R,1,True,True,103.96670532226562,29.97578239440918,15.560599755181205,0.0013053385416666,9.440104166666666e-05,2R,low_focus
53,1,L,F53_T1,F53_T1_L,1,S3531L01.jpg,53/1L/S3531L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/53/1L/S3531L01.jpg,.jpg,15802,e7a875c118de3882a2cef87284013618210e3cf3647d85fd7821e3ba2a8af4df,640,480,L,JPEG,True,,True,53,1,L,1,True,True,205.11395263671875,42.468936920166016,31.16414170900979,0.0001432291666666,0.325634765625,1L,high_bright_ratio
43,2,R,F43_T2,F43_T2_R,2,S3432R02.jpg,43/2R/S3432R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/43/2R/S3432R02.jpg,.jpg,14906,361391d0806b9c93174e377f4ebe18e079d0e4c9b9ce32368cddbe134f78fbb6,640,480,L,JPEG,True,,True,43,2,R,2,True,True,200.1967010498047,46.544334411621094,26.81068403217528,0.0001529947916666,0.3041569010416666,2R,high_bright_ratio
47,1,R,F47_T1,F47_T1_R,7,S3471R07.jpg,47/1R/S3471R07.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/47/1R/S3471R07.jpg,.jpg,19577,55f09fe35dfdac6800f55fa94073ea2f97916471025b0da171849437a575440d,640,480,L,JPEG,True,,True,47,1,R,7,True,True,195.2776641845703,43.39066696166992,50.58641817702187,6.510416666666667e-06,0.285478515625,1R,high_bright_ratio
97,2,R,F97_T2,F97_T2_R,1,S3972R01.jpg,97/2R/S3972R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/97/2R/S3972R01.jpg,.jpg,17694,8ad12d6dfc396ebaa3a6417176a7e64da2b58247678545034bada085e53aeb80,640,480,L,JPEG,True,,True,97,2,R,1,True,True,172.00730895996094,57.937225341796875,33.32059871587752,0.0002669270833333,0.2422981770833333,2R,high_bright_ratio
99,1,R,F99_T1,F99_T1_R,1,S3991R01.jpg,99/1R/S3991R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/99/1R/S3991R01.jpg,.jpg,16150,d37f062ff70641fec1209fcf810c56681655797d68ea11ddc56eef986d4ae106,640,480,L,JPEG,True,,True,99,1,R,1,True,True,190.3951110839844,43.86250686645508,26.714612961228685,1.953125e-05,0.2193815104166666,1R,high_bright_ratio
96,1,L,F96_T1,F96_T1_L,1,S3961L01.jpg,96/1L/S3961L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/96/1L/S3961L01.jpg,.jpg,18960,660c909b9c147ed18cb8b84185bbf1769998959c3b66e1d4c31ca6050a8fd321,640,480,L,JPEG,True,,True,96,1,L,1,True,True,139.28323364257812,66.51872253417969,38.48695866389804,0.00486328125,0.2170052083333333,1L,high_bright_ratio
99,1,R,F99_T1,F99_T1_R,2,S3991R02.jpg,99/1R/S3991R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/99/1R/S3991R02.jpg,.jpg,14645,be7929d407fc5ace5cb01c1209af5f9c569eb9c77985f215702ba5fe9369d600,640,480,L,JPEG,True,,True,99,1,R,2,True,True,187.47361755371097,45.13214492797851,20.564908392333987,2.604166666666667e-05,0.210703125,1R,high_bright_ratio
62,2,R,F62_T2,F62_T2_R,9,S3622R09.jpg,62/2R/S3622R09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/62/2R/S3622R09.jpg,.jpg,19838,0c1cee3e0136bc896cae96aa7605d58cdb04bd184de74cd10e13fa9eb4312e37,640,480,L,JPEG,True,,True,62,2,R,9,True,True,158.81968688964844,69.72528076171875,52.57974517795774,0.0006868489583333,0.18765625,2R,high_bright_ratio
96,2,R,F96_T2,F96_T2_R,1,S3962R01.jpg,96/2R/S3962R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/96/2R/S3962R01.jpg,.jpg,23377,2dbf3b3054bed6ef781c3c0373be15718417c1448e651de9c6869ca9d3939177,640,480,L,JPEG,True,,True,96,2,R,1,True,True,151.7812957763672,60.5090217590332,71.89112011650936,0.00123046875,0.1631380208333333,2R,high_bright_ratio
53,1,L,F53_T1,F53_T1_L,4,S3531L04.jpg,53/1L/S3531L04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/53/1L/S3531L04.jpg,.jpg,15621,48b9bc8bd3a184e97fbbb95c44ecc7e8a77d96dab2a5dc566e5d1b0d0d620897,640,480,L,JPEG,True,,True,53,1,L,4,True,True,171.23788452148438,50.86717224121094,25.142302728229105,0.0006184895833333,0.1370442708333333,1L,high_bright_ratio
96,1,L,F96_T1,F96_T1_L,2,S3961L02.jpg,96/1L/S3961L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/96/1L/S3961L02.jpg,.jpg,22367,28e8c5bf85e730b41781fb3e79e85c7e722de07ec45ceca654a32bb7fa8bf314,640,480,L,JPEG,True,,True,96,1,L,2,True,True,152.45458984375,56.838523864746094,47.31470917358398,0.0041927083333333,0.1190787760416666,1L,high_bright_ratio
96,2,R,F96_T2,F96_T2_R,2,S3962R02.jpg,96/2R/S3962R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/96/2R/S3962R02.jpg,.jpg,22026,4723d3b3177a102cedb345a38e83e479ae14871f84fca357fcc2150c6492fe3a,640,480,L,JPEG,True,,True,96,2,R,2,True,True,133.4362030029297,58.77690887451172,42.620981505828425,0.0021516927083333,0.1146809895833333,2R,high_bright_ratio
53,1,L,F53_T1,F53_T1_L,5,S3531L05.jpg,53/1L/S3531L05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/53/1L/S3531L05.jpg,.jpg,17112,e3453ed4789e1b50d5591ff08407ad146241bdbd74a5ae2f1b6abf1db5bb21f5,640,480,L,JPEG,True,,True,53,1,L,5,True,True,167.5110626220703,51.76798248291016,25.33793008718491,0.0010091145833333,0.0865462239583333,1L,high_bright_ratio
96,2,R,F96_T2,F96_T2_R,3,S3962R03.jpg,96/2R/S3962R03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/96/2R/S3962R03.jpg,.jpg,24971,6dc3ebd851d91e0d583408d98f9120b648dcf87db49d2356e0bb83b17ad598b9,640,480,L,JPEG,True,,True,96,2,R,3,True,True,138.1725311279297,55.29779052734375,106.81452141646278,0.0013151041666666,0.081669921875,2R,high_bright_ratio
62,2,R,F62_T2,F62_T2_R,8,S3622R08.jpg,62/2R/S3622R08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/62/2R/S3622R08.jpg,.jpg,21906,5a49b3063f1a35202e9864ce3d55e7fb6d6f2fc6dd14e6bea6ce0ee05d7c2917,640,480,L,JPEG,True,,True,62,2,R,8,True,True,144.6719970703125,60.48958969116211,45.3157054379675,0.0055045572916666,0.0554720052083333,2R,high_bright_ratio
62,2,R,F62_T2,F62_T2_R,3,S3622R03.jpg,62/2R/S3622R03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/62/2R/S3622R03.jpg,.jpg,20159,50d6a70b8771d82a41dfbf2021ae69daff84e57a27ad50478b3e354c93c156d9,640,480,L,JPEG,True,,True,62,2,R,3,True,True,136.2648162841797,61.79810333251953,33.404260564920634,0.0064615885416666,0.052255859375,2R,high_bright_ratio
62,2,R,F62_T2,F62_T2_R,6,S3622R06.jpg,62/2R/S3622R06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/62/2R/S3622R06.jpg,.jpg,21507,ac8634b76c40c363978fd53c17b6e5e043d479d44d4d9953fafd66adb5967a15,640,480,L,JPEG,True,,True,62,2,R,6,True,True,136.21115112304688,61.279685974121094,41.00620547475815,0.006123046875,0.051572265625,2R,high_bright_ratio
99,2,R,F99_T2,F99_T2_R,2,S3992R02.jpg,99/2R/S3992R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/99/2R/S3992R02.jpg,.jpg,19173,19d8f53d9cf9456de89e3d54086f255eaef1873adc26c7ff8984b73b385e9bf0,640,480,L,JPEG,True,,True,99,2,R,2,True,True,128.22653198242188,53.4283447265625,23.319686599212226,0.0020475260416666,0.050234375,2R,high_bright_ratio
62,2,R,F62_T2,F62_T2_R,5,S3622R05.jpg,62/2R/S3622R05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/62/2R/S3622R05.jpg,.jpg,23059,289db5b3ae8f3d8228cd3fcda06a3794961721a8176bf24453d9064cc4bfe806,640,480,L,JPEG,True,,True,62,2,R,5,True,True,149.5598907470703,57.63662338256836,50.63113775803247,0.0023828125,0.0498567708333333,2R,high_bright_ratio
62,2,L,F62_T2,F62_T2_L,2,S3622L02.jpg,62/2L/S3622L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/62/2L/S3622L02.jpg,.jpg,18455,03963bc2779ea5a9ed8f898c77db6f2afec469c2d2c0341c5edd19232440db72,640,480,L,JPEG,True,,True,62,2,L,2,True,True,166.77952575683594,64.01006317138672,42.52688132692974,0.0020084635416666,0.0479557291666666,2L,high_bright_ratio
99,2,R,F99_T2,F99_T2_R,3,S3992R03.jpg,99/2R/S3992R03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/99/2R/S3992R03.jpg,.jpg,19844,8d760291e281963bf66a09d5fc2a6a090b1815638de99dc9edd5c7cd23b93a5a,640,480,L,JPEG,True,,True,99,2,R,3,True,True,126.29331970214844,52.13521957397461,26.723225859536072,0.0013346354166666,0.0408365885416666,2R,high_bright_ratio
35,2,L,F35_T2,F35_T2_L,5,S3352L05.jpg,35/2L/S3352L05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/35/2L/S3352L05.jpg,.jpg,17133,30e4a8a337dd1db8a4531cb9e71778e9c2297ea0c0b2df0588552a6240aff2ca,640,480,L,JPEG,True,,True,35,2,L,5,True,True,101.33907318115234,67.39901733398438,24.499422042327453,0.0260709635416666,0.032890625,2L,high_bright_ratio
51,2,R,F51_T2,F51_T2_R,3,S3512R03.jpg,51/2R/S3512R03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/51/2R/S3512R03.jpg,.jpg,21816,727f920c6069eaa0deae353067163180d2981e850c91ce7c0a169f6bb9582a98,640,480,L,JPEG,True,,True,51,2,R,3,True,True,133.78443908691406,56.52992630004883,45.52954784812926,0.00033203125,0.0317057291666666,2R,high_bright_ratio
51,2,R,F51_T2,F51_T2_R,2,S3512R02.jpg,51/2R/S3512R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/51/2R/S3512R02.jpg,.jpg,21414,60298bed3073afc680402b3305855e95d05d0e39f558a799aa96fa6756c7cfe0,640,480,L,JPEG,True,,True,51,2,R,2,True,True,132.43499755859375,55.83641815185547,40.06959908205667,0.0003190104166666,0.0252408854166666,2R,high_bright_ratio
84,1,L,F84_T1,F84_T1_L,7,S3841L07.jpg,84/1L/S3841L07.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/84/1L/S3841L07.jpg,.jpg,23100,272a1f4391d20a36486e0150a98bd362c49b2bb6319d85434c6e2a326e2a0c39,640,480,L,JPEG,True,,True,84,1,L,7,True,True,169.0249786376953,45.33985900878906,58.675531700547545,0.00013671875,0.021455078125,1L,high_bright_ratio
66,1,R,F66_T1,F66_T1_R,1,S3661R01.jpg,66/1R/S3661R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/66/1R/S3661R01.jpg,.jpg,17900,9a9bb45f358fb7f32fa4c2e423624b111cefab3bfbe48bf6cdb30ab7cc5799e0,640,480,L,JPEG,True,,True,66,1,R,1,True,True,77.6191635131836,22.32541847229004,25.152629078801475,0.01251953125,6.8359375e-05,1R,low_contrast
66,1,R,F66_T1,F66_T1_R,4,S3661R04.jpg,66/1R/S3661R04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/66/1R/S3661R04.jpg,.jpg,20077,5e58406f5eb8d4d36e928abfdcfe62162f1b98c4bbbb1dc304573c86b94ae236,640,480,L,JPEG,True,,True,66,1,R,4,True,True,76.18233489990234,22.82815742492676,37.67268446841769,0.013603515625,9.440104166666666e-05,1R,low_contrast
66,1,R,F66_T1,F66_T1_R,5,S3661R05.jpg,66/1R/S3661R05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/66/1R/S3661R05.jpg,.jpg,20344,22287f2b45ced3b0de87a4d826ee3246550e08080dd3231c08ceb99773ba5a9e,640,480,L,JPEG,True,,True,66,1,R,5,True,True,73.702392578125,23.027835845947266,45.24846234612994,0.0121516927083333,8.7890625e-05,1R,low_contrast
66,1,R,F66_T1,F66_T1_R,2,S3661R02.jpg,66/1R/S3661R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/66/1R/S3661R02.jpg,.jpg,19676,f67eac919f27f6a74eea15029d5d81693fde67086790245c17b9005b8da56f6b,640,480,L,JPEG,True,,True,66,1,R,2,True,True,80.0392074584961,23.213871002197266,39.58844388626947,0.0131477864583333,6.510416666666667e-05,1R,low_contrast
66,1,R,F66_T1,F66_T1_R,3,S3661R03.jpg,66/1R/S3661R03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/66/1R/S3661R03.jpg,.jpg,20100,c09e9ca48425041096cf9e5ab8bd4d8d94b0e01e786a873e7c42514d5ceeca65,640,480,L,JPEG,True,,True,66,1,R,3,True,True,80.4111099243164,24.286352157592773,35.64673641754788,0.01357421875,9.114583333333334e-05,1R,low_contrast
87,2,R,F87_T2,F87_T2_R,4,S3872R04.jpg,87/2R/S3872R04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/87/2R/S3872R04.jpg,.jpg,16616,a72c49e34a240f82c0277b1f25588f213ddbac87040142d762feefbaf4bb1757,640,480,L,JPEG,True,,True,87,2,R,4,True,True,87.7889175415039,24.612565994262695,24.322067176649306,0.00716796875,0.0001171875,2R,low_contrast
87,1,L,F87_T1,F87_T1_L,3,S3871L03.jpg,87/1L/S3871L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/87/1L/S3871L03.jpg,.jpg,16991,241f17592d627937ca6f1fc9b710d08fbd7a55ff7caad041e0a189f797563872,640,480,L,JPEG,True,,True,87,1,L,3,True,True,98.04570770263672,25.12201881408691,28.90487796756955,0.0021712239583333,8.463541666666667e-05,1L,low_contrast
