pair_id,sample_id_1,sample_id_2,image_1,image_2,code_path_1,code_path_2,family_id_1,family_id_2,subject_id_1,subject_id_2,iris_id_1,iris_id_2,twin_id_1,twin_id_2,eye_1,eye_2,relation,is_genuine,is_twin,is_unrelated,match_ok,hd,best_shift,common_bits,error,_matched_stems,matching_source
10,3,5,01/1R/S3011R02.jpg,01/2L/S3012L07.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L07.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_R,F01_T2_L,1,2,R,L,twin_cross_eye,0,1,0,True,0.4295902489626556,0,23136,,"S3011R02,S3012L07",filtered_from_final_matching_results
11,3,6,01/1R/S3011R02.jpg,01/2R/S3012R07.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2R__S3012R07.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_R,F01_T2_R,1,2,R,R,twin_same_eye,0,1,0,True,0.4529527191179219,-12,21404,,"S3011R02,S3012R07",filtered_from_final_matching_results
12,4,5,01/2L/S3012L02.jpg,01/2L/S3012L07.jpg,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L07.jpg.npz,1,1,F01_T2,F01_T2,F01_T2_L,F01_T2_L,2,2,L,L,genuine,1,0,0,True,0.4356371274254851,-8,19996,,"S3012L02,S3012L07",filtered_from_final_matching_results
13,4,6,01/2L/S3012L02.jpg,01/2R/S3012R07.jpg,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2R__S3012R07.jpg.npz,1,1,F01_T2,F01_T2,F01_T2_L,F01_T2_R,2,2,L,R,same_subject_different_eye,0,0,0,True,0.4516657038320816,10,20772,,"S3012L02,S3012R07",filtered_from_final_matching_results
14,5,6,01/2L/S3012L07.jpg,01/2R/S3012R07.jpg,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L07.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2R__S3012R07.jpg.npz,1,1,F01_T2,F01_T2,F01_T2_L,F01_T2_R,2,2,L,R,same_subject_different_eye,0,0,0,True,0.4438318092164246,-6,22308,,"S3012L07,S3012R07",filtered_from_final_matching_results
15,7,8,02/1L/S3021L01.jpg,02/1L/S3021L02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.2967319340752218,-2,28396,,"S3021L01,S3021L02",filtered_from_final_matching_results
16,7,9,02/1L/S3021L01.jpg,02/1L/S3021L03.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.3314416273584906,-2,27136,,"S3021L01,S3021L03",filtered_from_final_matching_results
17,7,10,02/1L/S3021L01.jpg,02/1L/S3021L04.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.3587509349289454,-4,26740,,"S3021L01,S3021L04",filtered_from_final_matching_results
19,7,12,02/1L/S3021L01.jpg,02/1L/S3021L06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.2955352072685974,-2,28176,,"S3021L01,S3021L06",filtered_from_final_matching_results
20,7,13,02/1L/S3021L01.jpg,02/1R/S3021R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R01.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4209300606239834,0,27052,,"S3021L01,S3021R01",filtered_from_final_matching_results
21,7,14,02/1L/S3021L01.jpg,02/1R/S3021R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R02.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4425854952830189,0,27136,,"S3021L01,S3021R02",filtered_from_final_matching_results
25,7,18,02/1L/S3021L01.jpg,02/1R/S3021R06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4298561151079136,0,27244,,"S3021L01,S3021R06",filtered_from_final_matching_results
26,7,19,02/1L/S3021L01.jpg,02/1R/S3021R07.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R07.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4368529232643118,-2,26272,,"S3021L01,S3021R07",filtered_from_final_matching_results
28,7,21,02/1L/S3021L01.jpg,02/1R/S3021R09.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R09.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4164574719432959,0,27088,,"S3021L01,S3021R09",filtered_from_final_matching_results
29,7,22,02/1L/S3021L01.jpg,02/2L/S3022L01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2L__S3022L01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_L,1,2,L,L,twin_same_eye,0,1,0,True,0.4039609130240191,6,26812,,"S3021L01,S3022L01",filtered_from_final_matching_results
30,7,23,02/1L/S3021L01.jpg,02/2R/S3022R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4104295837023915,4,27096,,"S3021L01,S3022R01",filtered_from_final_matching_results
31,7,24,02/1L/S3021L01.jpg,02/2R/S3022R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R02.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4126895628902765,-2,26904,,"S3021L01,S3022R02",filtered_from_final_matching_results
32,8,9,02/1L/S3021L02.jpg,02/1L/S3021L03.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.238268156424581,0,28640,,"S3021L02,S3021L03",filtered_from_final_matching_results
33,8,10,02/1L/S3021L02.jpg,02/1L/S3021L04.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.3124371678874048,0,27852,,"S3021L02,S3021L04",filtered_from_final_matching_results
35,8,12,02/1L/S3021L02.jpg,02/1L/S3021L06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.2562362938596491,0,29184,,"S3021L02,S3021L06",filtered_from_final_matching_results
36,8,13,02/1L/S3021L02.jpg,02/1R/S3021R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R01.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4415947949765471,6,26436,,"S3021L02,S3021R01",filtered_from_final_matching_results
37,8,14,02/1L/S3021L02.jpg,02/1R/S3021R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R02.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4155383091149273,-16,24224,,"S3021L02,S3021R02",filtered_from_final_matching_results
41,8,18,02/1L/S3021L02.jpg,02/1R/S3021R06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4395058786145535,-16,25176,,"S3021L02,S3021R06",filtered_from_final_matching_results
42,8,19,02/1L/S3021L02.jpg,02/1R/S3021R07.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R07.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4297398985768035,-16,24452,,"S3021L02,S3021R07",filtered_from_final_matching_results
44,8,21,02/1L/S3021L02.jpg,02/1R/S3021R09.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R09.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4243859367474715,-16,24916,,"S3021L02,S3021R09",filtered_from_final_matching_results
45,8,22,02/1L/S3021L02.jpg,02/2L/S3022L01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2L__S3022L01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_L,1,2,L,L,twin_same_eye,0,1,0,True,0.3917185646500593,8,26976,,"S3021L02,S3022L01",filtered_from_final_matching_results
46,8,23,02/1L/S3021L02.jpg,02/2R/S3022R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4173848439821694,8,26920,,"S3021L02,S3022R01",filtered_from_final_matching_results
47,8,24,02/1L/S3021L02.jpg,02/2R/S3022R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R02.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4081902718168813,0,27960,,"S3021L02,S3022R02",filtered_from_final_matching_results
48,9,10,02/1L/S3021L03.jpg,02/1L/S3021L04.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.3236799765979231,0,27348,,"S3021L03,S3021L04",filtered_from_final_matching_results
50,9,12,02/1L/S3021L03.jpg,02/1L/S3021L06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.2499645339764505,0,28196,,"S3021L03,S3021L06",filtered_from_final_matching_results
51,9,13,02/1L/S3021L03.jpg,02/1R/S3021R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R01.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4406879194630873,-14,23840,,"S3021L03,S3021R01",filtered_from_final_matching_results
52,9,14,02/1L/S3021L03.jpg,02/1R/S3021R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R02.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4100934094447327,-16,23124,,"S3021L03,S3021R02",filtered_from_final_matching_results
56,9,18,02/1L/S3021L03.jpg,02/1R/S3021R06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4380730121686947,-16,23996,,"S3021L03,S3021R06",filtered_from_final_matching_results
57,9,19,02/1L/S3021L03.jpg,02/1R/S3021R07.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R07.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4302470159151194,-12,24128,,"S3021L03,S3021R07",filtered_from_final_matching_results
59,9,21,02/1L/S3021L03.jpg,02/1R/S3021R09.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R09.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4293313069908814,-16,23688,,"S3021L03,S3021R09",filtered_from_final_matching_results
60,9,22,02/1L/S3021L03.jpg,02/2L/S3022L01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2L__S3022L01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_L,1,2,L,L,twin_same_eye,0,1,0,True,0.4113402840737383,6,26472,,"S3021L03,S3022L01",filtered_from_final_matching_results
61,9,23,02/1L/S3021L03.jpg,02/2R/S3022R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4403843300192906,0,26956,,"S3021L03,S3022R01",filtered_from_final_matching_results
62,9,24,02/1L/S3021L03.jpg,02/2R/S3022R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R02.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.3978825649496921,0,26636,,"S3021L03,S3022R02",filtered_from_final_matching_results
64,10,12,02/1L/S3021L04.jpg,02/1L/S3021L06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_L,1,1,L,L,genuine,1,0,0,True,0.3200350723366944,2,27372,,"S3021L04,S3021L06",filtered_from_final_matching_results
65,10,13,02/1L/S3021L04.jpg,02/1R/S3021R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R01.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4495269471194458,-14,23676,,"S3021L04,S3021R01",filtered_from_final_matching_results
66,10,14,02/1L/S3021L04.jpg,02/1R/S3021R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R02.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4146039603960396,-14,23432,,"S3021L04,S3021R02",filtered_from_final_matching_results
70,10,18,02/1L/S3021L04.jpg,02/1R/S3021R06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4461924304605563,2,26316,,"S3021L04,S3021R06",filtered_from_final_matching_results
71,10,19,02/1L/S3021L04.jpg,02/1R/S3021R07.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R07.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.417396155166495,-16,23304,,"S3021L04,S3021R07",filtered_from_final_matching_results
73,10,21,02/1L/S3021L04.jpg,02/1R/S3021R09.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R09.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4393136615585262,-12,24536,,"S3021L04,S3021R09",filtered_from_final_matching_results
74,10,22,02/1L/S3021L04.jpg,02/2L/S3022L01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2L__S3022L01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_L,1,2,L,L,twin_same_eye,0,1,0,True,0.4100044662795891,0,26868,,"S3021L04,S3022L01",filtered_from_final_matching_results
75,10,23,02/1L/S3021L04.jpg,02/2R/S3022R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4063224609676921,8,25876,,"S3021L04,S3022R01",filtered_from_final_matching_results
76,10,24,02/1L/S3021L04.jpg,02/2R/S3022R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R02.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4020239190432382,2,26088,,"S3021L04,S3022R02",filtered_from_final_matching_results
90,12,13,02/1L/S3021L06.jpg,02/1R/S3021R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R01.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4548841730115017,12,24692,,"S3021L06,S3021R01",filtered_from_final_matching_results
91,12,14,02/1L/S3021L06.jpg,02/1R/S3021R02.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R02.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4414335664335664,-10,25168,,"S3021L06,S3021R02",filtered_from_final_matching_results
95,12,18,02/1L/S3021L06.jpg,02/1R/S3021R06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R06.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4444982853734904,4,26828,,"S3021L06,S3021R06",filtered_from_final_matching_results
96,12,19,02/1L/S3021L06.jpg,02/1R/S3021R07.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R07.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4269237245327496,-16,23756,,"S3021L06,S3021R07",filtered_from_final_matching_results
98,12,21,02/1L/S3021L06.jpg,02/1R/S3021R09.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R09.jpg.npz,2,2,F02_T1,F02_T1,F02_T1_L,F02_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4227347611202636,-16,24280,,"S3021L06,S3021R09",filtered_from_final_matching_results
99,12,22,02/1L/S3021L06.jpg,02/2L/S3022L01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2L__S3022L01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_L,1,2,L,L,twin_same_eye,0,1,0,True,0.4013630367873369,6,27292,,"S3021L06,S3022L01",filtered_from_final_matching_results
100,12,23,02/1L/S3021L06.jpg,02/2R/S3022R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,data/features/daugman_strict_v3/gabor_codes/02__2R__S3022R01.jpg.npz,2,2,F02_T1,F02_T2,F02_T1_L,F02_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4553518845700824,6,27168,,"S3021L06,S3022R01",filtered_from_final_matching_results
